Hue0	Hue1	Hue2	Hue3	Hue4	Hue5	Hue6	Hue7	Hue8	Hue9	Hue10	Hue11	Hue12	Hue13	Hue14	Hue15	type
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	yes no
																class
0.050	0.007	0.001	0.001	0.000	0.000	0.000	0.000	0.001	0.001	0.003	0.000	0.000	0.000	0.000	0.000	yes
0.003	0.005	0.017	0.009	0.006	0.003	0.002	0.005	0.012	0.001	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.002	0.003	0.015	0.014	0.011	0.012	0.004	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.001	0.008	0.019	0.022	0.009	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.005	0.005	0.007	0.014	0.011	0.012	0.004	0.003	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.005	0.001	0.008	0.015	0.013	0.008	0.005	0.003	0.003	0.001	0.001	0.001	0.000	0.000	0.000	0.000	yes
0.006	0.007	0.008	0.022	0.009	0.010	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.034	0.001	0.000	0.002	0.001	0.000	0.000	0.007	0.001	0.009	0.008	0.000	0.000	0.000	0.000	0.000	yes
0.059	0.000	0.000	0.000	0.000	0.000	0.002	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.057	0.001	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.000	yes
0.020	0.007	0.014	0.001	0.000	0.001	0.005	0.008	0.002	0.001	0.002	0.001	0.000	0.000	0.000	0.000	yes
0.001	0.008	0.018	0.020	0.013	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.015	0.014	0.006	0.005	0.004	0.013	0.001	0.000	0.000	0.001	0.002	0.000	0.000	0.000	0.000	0.000	yes
0.020	0.007	0.008	0.009	0.002	0.001	0.000	0.001	0.001	0.003	0.010	0.002	0.000	0.000	0.000	0.000	yes
0.013	0.006	0.006	0.008	0.009	0.005	0.004	0.006	0.002	0.001	0.004	0.000	0.000	0.000	0.000	0.000	yes
0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.001	0.008	0.018	0.020	0.013	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.010	0.026	0.020	0.005	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.002	0.010	0.021	0.006	0.002	0.002	0.010	0.008	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	yes
0.019	0.011	0.000	0.000	0.000	0.000	0.002	0.023	0.003	0.001	0.003	0.000	0.000	0.000	0.000	0.000	yes
0.043	0.016	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.051	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.039	0.001	0.000	0.000	0.001	0.006	0.012	0.001	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	yes
0.015	0.004	0.016	0.016	0.001	0.000	0.000	0.001	0.002	0.003	0.004	0.002	0.000	0.000	0.000	0.000	yes
0.008	0.008	0.005	0.002	0.001	0.001	0.002	0.010	0.014	0.008	0.003	0.001	0.000	0.000	0.000	0.000	yes
0.013	0.000	0.000	0.000	0.000	0.000	0.026	0.019	0.001	0.001	0.002	0.001	0.000	0.000	0.000	0.000	yes
0.017	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.015	0.019	0.017	0.000	0.000	0.000	0.000	0.001	0.001	0.002	0.007	0.000	0.000	0.000	0.000	0.000	yes
0.004	0.014	0.001	0.000	0.000	0.000	0.001	0.036	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.007	0.018	0.003	0.001	0.000	0.000	0.001	0.028	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.010	0.026	0.019	0.000	0.000	0.000	0.002	0.003	0.001	0.000	0.001	0.001	0.000	0.000	0.000	0.000	yes
0.015	0.034	0.012	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.012	0.012	0.004	0.002	0.008	0.010	0.002	0.007	0.002	0.001	0.002	0.001	0.000	0.000	0.000	0.000	yes
0.039	0.019	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	yes
0.020	0.015	0.017	0.002	0.001	0.001	0.000	0.001	0.001	0.001	0.003	0.001	0.000	0.000	0.000	0.000	yes
0.019	0.026	0.013	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	yes
0.005	0.049	0.003	0.001	0.000	0.001	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.008	0.006	0.004	0.004	0.005	0.016	0.018	0.001	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	yes
0.008	0.004	0.003	0.001	0.002	0.003	0.007	0.022	0.004	0.005	0.003	0.000	0.000	0.000	0.000	0.000	yes
0.030	0.014	0.001	0.001	0.001	0.001	0.002	0.007	0.001	0.001	0.003	0.002	0.000	0.000	0.000	0.000	yes
0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.004	0.014	0.011	0.028	0.003	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.018	0.006	0.008	0.010	0.002	0.001	0.000	0.001	0.001	0.006	0.008	0.001	0.000	0.000	0.000	0.000	yes
0.022	0.004	0.001	0.000	0.001	0.004	0.009	0.009	0.002	0.001	0.006	0.003	0.000	0.000	0.000	0.000	yes
0.030	0.006	0.006	0.008	0.005	0.002	0.002	0.001	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	yes
0.013	0.006	0.013	0.001	0.000	0.000	0.001	0.006	0.002	0.007	0.011	0.001	0.000	0.000	0.000	0.000	yes
0.000	0.016	0.007	0.002	0.006	0.021	0.008	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.017	0.004	0.000	0.000	0.000	0.001	0.008	0.014	0.003	0.003	0.008	0.005	0.000	0.000	0.000	0.000	yes
0.046	0.007	0.000	0.001	0.000	0.000	0.001	0.001	0.001	0.002	0.004	0.001	0.000	0.000	0.000	0.000	yes
0.018	0.004	0.002	0.001	0.001	0.007	0.019	0.009	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	yes
0.001	0.001	0.013	0.018	0.003	0.007	0.007	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.015	0.014	0.004	0.001	0.000	0.001	0.023	0.001	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	yes
0.027	0.020	0.008	0.004	0.002	0.001	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	yes
0.021	0.013	0.010	0.007	0.002	0.004	0.003	0.001	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	yes
0.005	0.020	0.027	0.003	0.001	0.002	0.003	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.033	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.018	0.006	0.000	0.000	0.000	0.000	yes
0.012	0.000	0.000	0.000	0.000	0.000	0.013	0.009	0.006	0.011	0.007	0.004	0.000	0.000	0.000	0.000	yes
0.015	0.000	0.000	0.000	0.000	0.000	0.002	0.004	0.008	0.013	0.017	0.005	0.000	0.000	0.000	0.000	yes
0.018	0.000	0.000	0.000	0.000	0.002	0.002	0.002	0.004	0.006	0.013	0.014	0.000	0.000	0.000	0.000	yes
0.038	0.001	0.000	0.000	0.000	0.000	0.000	0.012	0.001	0.001	0.005	0.004	0.000	0.000	0.000	0.000	yes
0.022	0.013	0.004	0.007	0.005	0.007	0.001	0.001	0.001	0.001	0.002	0.001	0.000	0.000	0.000	0.000	yes
0.012	0.007	0.016	0.004	0.003	0.004	0.007	0.004	0.001	0.001	0.003	0.001	0.000	0.000	0.000	0.000	yes
0.009	0.014	0.004	0.002	0.002	0.004	0.005	0.008	0.005	0.004	0.004	0.001	0.000	0.000	0.000	0.000	yes
0.011	0.013	0.026	0.002	0.001	0.000	0.000	0.001	0.002	0.001	0.004	0.001	0.000	0.000	0.000	0.000	yes
0.019	0.014	0.004	0.002	0.002	0.003	0.007	0.005	0.002	0.001	0.002	0.001	0.000	0.000	0.000	0.000	yes
0.007	0.013	0.005	0.007	0.011	0.005	0.012	0.002	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	yes
0.027	0.016	0.003	0.002	0.002	0.001	0.003	0.002	0.001	0.001	0.003	0.001	0.000	0.000	0.000	0.000	yes
0.000	0.000	0.000	0.000	0.000	0.000	0.018	0.030	0.008	0.003	0.003	0.000	0.000	0.000	0.000	0.000	yes
0.015	0.003	0.003	0.001	0.002	0.015	0.009	0.001	0.001	0.001	0.008	0.004	0.000	0.000	0.000	0.000	yes
0.020	0.008	0.017	0.002	0.002	0.003	0.005	0.001	0.000	0.001	0.002	0.003	0.000	0.000	0.000	0.000	yes
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.061	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.003	0.021	0.007	0.003	0.003	0.005	0.011	0.006	0.003	0.001	0.001	0.000	0.000	0.000	0.000	0.000	yes
0.006	0.004	0.009	0.001	0.001	0.001	0.001	0.004	0.020	0.008	0.006	0.001	0.000	0.000	0.000	0.000	yes
0.005	0.020	0.027	0.003	0.001	0.002	0.003	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	yes
0.024	0.002	0.000	0.000	0.000	0.000	0.025	0.003	0.001	0.001	0.005	0.001	0.000	0.000	0.000	0.000	yes
0.054	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.002	0.000	0.000	0.000	0.000	no
0.001	0.013	0.041	0.000	0.000	0.001	0.004	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	no
0.000	0.001	0.041	0.000	0.000	0.015	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.003	0.004	0.045	0.001	0.000	0.001	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.000	0.038	0.004	0.000	0.000	0.002	0.016	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.036	0.007	0.001	0.000	0.000	0.001	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.011	0.000	0.001	0.000	0.000	0.000	0.000	0.035	0.001	0.016	0.000	0.000	0.000	0.000	0.000	0.000	no
0.052	0.002	0.000	0.001	0.000	0.000	0.001	0.007	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	no
0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.020	0.012	0.000	0.000	0.000	0.004	0.026	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	no
0.013	0.000	0.000	0.002	0.004	0.000	0.032	0.000	0.000	0.007	0.000	0.004	0.000	0.000	0.000	0.000	no
0.036	0.007	0.001	0.000	0.000	0.001	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.005	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.003	0.000	0.000	0.000	0.000	0.000	no
0.036	0.007	0.001	0.000	0.000	0.001	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.036	0.007	0.001	0.000	0.000	0.001	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.005	0.005	0.044	0.000	0.000	0.000	0.007	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	no
0.001	0.013	0.041	0.000	0.000	0.001	0.004	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	no
0.000	0.001	0.041	0.000	0.000	0.015	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.003	0.004	0.045	0.001	0.000	0.001	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.000	0.038	0.004	0.000	0.000	0.002	0.016	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.036	0.007	0.001	0.000	0.000	0.001	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.046	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.003	0.000	0.000	0.000	0.000	0.000	no
0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.025	0.014	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.019	0.004	0.000	0.000	0.000	0.000	no
0.011	0.000	0.001	0.000	0.000	0.000	0.000	0.035	0.001	0.016	0.000	0.000	0.000	0.000	0.000	0.000	no
0.052	0.002	0.000	0.001	0.000	0.000	0.001	0.007	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	no
0.024	0.025	0.001	0.001	0.001	0.000	0.001	0.007	0.001	0.000	0.001	0.000	0.000	0.000	0.000	0.000	no
0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.022	0.035	0.000	0.000	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.041	0.011	0.000	0.002	0.000	0.000	0.006	0.001	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	no
0.036	0.004	0.000	0.000	0.000	0.003	0.018	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.047	0.013	0.001	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.036	0.007	0.001	0.000	0.000	0.001	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.051	0.004	0.000	0.000	0.000	0.001	0.002	0.001	0.000	0.001	0.002	0.000	0.000	0.000	0.000	0.000	no
0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.000	0.036	0.009	0.002	0.001	0.001	0.001	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.033	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.005	0.005	0.044	0.000	0.000	0.000	0.007	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	no
0.005	0.023	0.003	0.001	0.000	0.002	0.001	0.026	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	no
0.016	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.011	0.016	0.001	0.001	0.002	0.005	0.015	0.007	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	no
0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.041	0.009	0.003	0.002	0.001	0.003	0.001	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	no
0.022	0.022	0.001	0.001	0.000	0.001	0.001	0.001	0.001	0.001	0.013	0.000	0.000	0.000	0.000	0.000	no
0.014	0.007	0.004	0.002	0.002	0.002	0.005	0.011	0.009	0.002	0.005	0.001	0.000	0.000	0.000	0.000	no
0.032	0.007	0.002	0.001	0.001	0.000	0.001	0.002	0.001	0.001	0.006	0.008	0.000	0.000	0.000	0.000	no
0.024	0.019	0.003	0.002	0.001	0.001	0.003	0.005	0.002	0.001	0.002	0.001	0.000	0.000	0.000	0.000	no
0.035	0.004	0.003	0.003	0.000	0.001	0.000	0.001	0.001	0.001	0.008	0.006	0.000	0.000	0.000	0.000	no
0.016	0.001	0.001	0.002	0.002	0.027	0.007	0.003	0.001	0.001	0.002	0.000	0.000	0.000	0.000	0.000	no
0.018	0.027	0.003	0.001	0.001	0.002	0.003	0.000	0.000	0.000	0.005	0.003	0.000	0.000	0.000	0.000	no
0.003	0.014	0.028	0.014	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	no
0.011	0.001	0.000	0.000	0.000	0.000	0.006	0.017	0.006	0.005	0.011	0.004	0.000	0.000	0.000	0.000	no
0.015	0.008	0.004	0.005	0.003	0.005	0.005	0.002	0.001	0.001	0.005	0.008	0.000	0.000	0.000	0.000	no
0.028	0.022	0.002	0.001	0.001	0.001	0.002	0.002	0.001	0.001	0.002	0.001	0.000	0.000	0.000	0.000	no
0.021	0.025	0.002	0.001	0.000	0.001	0.002	0.000	0.001	0.001	0.007	0.001	0.000	0.000	0.000	0.000	no
0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.030	0.007	0.002	0.002	0.004	0.003	0.003	0.002	0.001	0.001	0.003	0.006	0.000	0.000	0.000	0.000	no
0.012	0.001	0.001	0.000	0.000	0.000	0.006	0.018	0.006	0.006	0.010	0.004	0.000	0.000	0.000	0.000	no
0.007	0.007	0.003	0.001	0.001	0.001	0.004	0.008	0.009	0.011	0.010	0.000	0.000	0.000	0.000	0.000	no
0.009	0.003	0.001	0.001	0.001	0.001	0.031	0.003	0.001	0.002	0.007	0.002	0.000	0.000	0.000	0.000	no
0.011	0.002	0.000	0.000	0.001	0.001	0.005	0.020	0.012	0.004	0.006	0.001	0.000	0.000	0.000	0.000	no
0.043	0.003	0.001	0.001	0.000	0.001	0.010	0.002	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	no
0.056	0.001	0.000	0.001	0.000	0.000	0.001	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.059	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.059	0.002	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.009	0.002	0.025	0.000	0.000	0.001	0.015	0.006	0.001	0.001	0.002	0.000	0.000	0.000	0.000	0.000	no
0.012	0.006	0.009	0.005	0.004	0.002	0.001	0.001	0.004	0.005	0.007	0.006	0.000	0.000	0.000	0.000	no
0.025	0.002	0.000	0.000	0.000	0.000	0.000	0.003	0.003	0.009	0.015	0.006	0.000	0.000	0.000	0.000	no
0.033	0.001	0.000	0.000	0.001	0.000	0.000	0.001	0.000	0.003	0.021	0.001	0.000	0.000	0.000	0.000	no
0.019	0.031	0.003	0.001	0.000	0.001	0.001	0.001	0.001	0.001	0.004	0.001	0.000	0.000	0.000	0.000	no
0.001	0.003	0.020	0.022	0.003	0.007	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
0.042	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.008	0.001	0.000	0.000	0.000	0.000	no
0.028	0.003	0.001	0.001	0.001	0.001	0.004	0.006	0.006	0.007	0.005	0.001	0.000	0.000	0.000	0.000	no
0.017	0.003	0.001	0.000	0.000	0.001	0.000	0.000	0.000	0.006	0.018	0.017	0.000	0.000	0.000	0.000	no
0.001	0.000	0.000	0.000	0.000	0.000	0.005	0.032	0.007	0.007	0.009	0.002	0.000	0.000	0.000	0.000	no
0.014	0.002	0.027	0.001	0.000	0.000	0.000	0.000	0.000	0.001	0.006	0.012	0.000	0.000	0.000	0.000	no
0.022	0.002	0.001	0.000	0.000	0.000	0.001	0.017	0.003	0.004	0.008	0.004	0.000	0.000	0.000	0.000	no
0.019	0.000	0.000	0.000	0.000	0.000	0.001	0.010	0.005	0.003	0.016	0.008	0.000	0.000	0.000	0.000	no
0.009	0.002	0.000	0.000	0.000	0.000	0.006	0.023	0.005	0.009	0.004	0.003	0.000	0.000	0.000	0.000	no
0.015	0.001	0.000	0.000	0.000	0.001	0.007	0.017	0.003	0.003	0.010	0.006	0.000	0.000	0.000	0.000	no
0.043	0.007	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.001	0.008	0.000	0.000	0.000	0.000	0.000	no
0.032	0.001	0.000	0.000	0.001	0.000	0.003	0.019	0.003	0.001	0.003	0.001	0.000	0.000	0.000	0.000	no
0.005	0.002	0.000	0.000	0.000	0.001	0.019	0.009	0.007	0.007	0.012	0.002	0.000	0.000	0.000	0.000	no
0.040	0.001	0.002	0.001	0.001	0.002	0.004	0.008	0.001	0.001	0.002	0.000	0.000	0.000	0.000	0.000	no
0.022	0.004	0.002	0.001	0.004	0.004	0.024	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	no
